"3","펭하","오징어쌀빵은 굉장히 부드러운 고로케같은 느낌이라 괜찮았어요. 그리고 빵들이 전반적으로 저렴해요. 근데 동네빵집이지 맛집빵집은 아닙니다. 전반적으로 맛이 클래식해요. 팥빵 슈크림빵 크림빵 이런계열 추천합니다.","2020.11.15."
"5","금호베스트","오징어쌀빵 매콤하니 색다른 맛이네요! 추천합니다!","2020.10.10."
"5","은지(단추)","오징어쌀빵 매우 맛있어요! 가격도 정말 저렴합니다. 밑에분 말씀처럼 터무니없는 가격받는 번지르르한 베이커리들보다 훨씬 실속있고 좋습니다. 딱 동네의 오래된 잘만드시는 빵집 느낌","2020.08.02."
"5","HJ","가격도 저렴한 편인디 맛있네요. 최근에 수도권에 포장만 번지르르하게해서 비싸기 받고 맛없는 빵집보다 동네빵집에 가격도 저렴한데 맛은 기대 이상입니다. 특히 카스테라와 슈크림빵 너무 맛있어요.","2020.07.10."
"5","젊은노인","혹시나 했는데 역시 명장임다","2019.12.14."
"5","avery","속초에서 맛잇게 먹을만한 곳 한 군데 더 찾아서 좋아요 :)  ","2021.03.09."
"5","하하하","포장해갔는데 맛있게 먹었어요 다만 면발이 다 엉켜있어서 먹기 힘들었네요","2021.02.18."
"1","*나마스떼*","내 입맛이 이상한가? 맛이 없는건가? 먹다 남김  ㅜㅜ","2021.02.13."
"1","[The Great Brian]","전에 맛은 있었지만. 지금은 instant 같아요. 피하세요.","2021.02.12."
"1","Sean","일단 노인 할매가 젊은 서빙하는 외국인 애들에게 자꾸 말걸고 귀찮게하고 지적질을 하는데!  먹는중에 짜증나서 한소리 할려다 참았음!!  만두 : 보통(맛있지도 맛 없지도 않음.)  함흥냉면 - 온육수 : 짜고 비리고. 특히 짬. - 면 : 얇은 당면같은 느낌. 씹을때 식감이 별로임. - 소스 : 맛없음. 면과 어울리지도 않음. - 고기 : 너무 얇은 고기 ...더보기","2021.01.17."
"4","가나^^","외지나와서 입에 맞는 음식 먹기 힘들죠 보통입니다 잘!먹고갑니다~~^^","2021.02.14."
"3","osantafe","고기 거의 안들어간 갈비탕이 만원이라 깜놀 ㅜㅜ 막국수도 만두도 특별한 맛 없음 12시 넘어 첫끼 먹느라 배고팠는데 식구들 모두 열심히 안먹음 ㅜㅜ","2020.10.03."
"5","ptau","수육소자랑 회막국수먹었어요 진짜 맛있어요!!추천추천! 주차는 간처 로데오공영1에 하고 100미터정도 걸음되어요","2020.08.08."
"5","박지환","이곳은 진짜 맛집입니다.. . .  . . 명태회도 수육도 다 정말 정말 묵직하게 맛이 깊고.. 진짜 맛있네요 부드럽구요 평 안 보고 가도 딱 장인의 집이다 라고 누구나 알 수 있을듯.. 개성이 있고 내공이 느껴져요 먹어본 막국수중에 제일 맛있었어요ㅠ 꼭 가보세요!! ","2020.06.21."
"5","허기수","옛맛을 간직한 냉면집","2019.12.23."
"1","常夏","양이 너무 적고 생선 퀄리티가 낮습니다 알면서도 갔지만 딴 건 몰라도 최소한 생선은 좀 좋은 것 쓰길 바랍니다 주차는 혹시나 하고 근처 가볼 생각하지말고 그냥 최대한 가까운 유료주차장에 대고 걸어가세요","2021.03.07."
"1","흐르는 강물","생선구이가 생선 굽는 거지 뭐 별 게 있는 것도 아니지.","2021.02.12."
"5","김현중","이렇게 싱싱하고 가성비 좋은데 비싸다고 해서 긴가민가 했다! 양도 많고 심지어 고기 다 구워주셔서 별 5개 드리고간다","2021.02.11."
"3","밍이","보통이에요","2021.02.02."
"1","박수영","여기 완전 눈탱이 맞아요.. 1인분에 15,000원 너무 비싸고, 숫불에서 구워 먹는데 너무 빨리 구워서 탄 맛만나요.. 종로 생선구이 생각하면 절대 안돼요.. 이번 속초 여행중 최악의 식당. 이것 보시고 딱 한번만 가능 식당으로..","2021.02.01."
"5","Genuine","맛있게 잘 마셨습니다. 추억이 있는 곳. ","2021.01.25."
"4","맛있는거 최고","분위기 좋고 사진도 넘잘나와요!! 커피는 쏘쏘 설악산 가는 루트면 꼭 들려야하는곳!!","2020.11.02."
"4","호홓","커피가 맛있는건 팩트!!!! ","2020.10.11."
"4","SS","속초 올때마다 매번 들리는 곳.  한적하고 분위기 좋음  다만 음료 맛은 기대하지 마시길","2020.10.07."
"1","미소","전체적으로 별 하나도 주고싶지 않아요.. 스끼다시 때문에 왕실망되고...메인회는 신선해서 별3개정도 (양식회2인상 9만원)","2020.11.21."
"1","hjyou","별로예요","2020.11.02."
"1","김재빈","동해식 횟집과 서해식 횟집이 다른 것은 아는데요. 밑반찬들이 말라서 오래된 느낌을 주었고 너무 부실했습니다. 장어탕수는 너무 퍼석거렸고 고구마줄기 무침은 서걱거리고요. 대기 시간도 너무 길었어요. 오래된 사진들이 다닥다닥 붙어있고 그나마 사진들도 바래졌고요. 미뤄봤을 때 인테리어도 별로 신경  안 쓰시는 듯. 대형 얼음접시에 나오는 회는 신선했어요. 술맛이...더보기","2020.10.09."
"1","초코맛","아~~ 진짜. 송강호배우님까지 싫어질려고해요 서빙보시는 분이 너무 친절하셔서 암소리 안하고 나왔습니다.   ","2020.09.10."
"1","ㅎㅎ","돌아가.....","2019.10.24."
"5",".","최고예요","2021.03.10."
